,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
93,PFIFGEA LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,PICTET - GLOABAL EMERGING DEB,General
94,PFIFGEI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,PICTET GLOBAL EMERGING DEBT,General
95,REMCIHU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,ROBECO CAPITAL GROWTH FUNDS ROBECOSAM EMERGING SDG CREDITS,General
96,VEMBIPU ID EQUITY,RENTA FIJA,RENTA FIJA,Emerging,VANGUARD EMERGING MARKETS BOND FUND,General
97,VEMKBDI LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,VONTOBEL FUND SUSTAINABLE EMERGING MARKETS LOCAL CURRENCY BOND,LC
98,VOEMDGU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,VONTOBEL FUND EMERGING MARKETS DEBT,General
99,VONEMCX LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,VONTOBEL FUND EMERGING MARKETS CORPORATE BOND,General
100,WIEMDIU LX EQUITY,RENTA FIJA,RENTA FIJA,Emerging,WILLIAM BLAIR SICAV EMERGING MARKETS DEBT HARD CURRENCY FUND,General
101,AEEVI2E LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,AMUNDI FUNDS EuropeAN EQUITY VALUE,General
102,BBEU  US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,JP MORGAN EXCHANGE TRADED FUND TRUST JPMORGAN BETABUILDERS Europe ETF,General
103,BRGGIEA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,BARING ASSET MANAGEMENT LIMITE,General
104,ESIF GY EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO FIN SECT EUR ACC ETF,Finance
105,ESIS GR EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES MSCI EURO CON STPL SECT ETF,General
106,EWI  US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES INC ISHARES MSCI ITALY ETF,Italy
107,EWP  US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES INC ISHARES MSCI SPAIN ETF,Spain
108,FEZ  US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SPDR INDEX SHARES FUNDS SPDR EURO STOXX 50 ETF,General
109,FFGIACE LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,FIDELITY FUNDS GERMANY FUND,Germany
110,GAEUFUB LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,HENDERSON GARTMORE FUND CONTINENTAL EuropeAN FUND,General
111,GAMCIEA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,GAM STAR FUND PLC GAM STAR CONTINENTAL EuropeAN EQUITY,General
112,IEVL LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,ISHARES IV PLC ISHARES EDGE MSCI Europe VALUE FACTOR UCITS ETF,General
113,IVSCSEA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,INVESCO FUNDS INVESCO CONTINENTAL EuropeAN SMALL CAP EQUITY FUND,General
114,JPMEEBU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,JPM Europe EQUITY FUND CLASS C,General
115,MGSECIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,M&G LUX INVESTMENT FUNDS 1 M&G LUX EuropeAN STRATEGIC VALUE FUND,General
116,STQ FP EQUITY,RENTA VARIABLE,RENTA VARIABLE,Europe,SPDR MSCI EUR INDUS UCITS ETF,General
