Dates,AACCHIA CI EQUITY,BCHDECH CI EQUITY,CCHIACB CI EQUITY,CELFFIB CI EQUITY,CFICOMDP CI EQUITY,CFIETFCC CI EQUITY,CFIMPIO CI EQUITY,CFIQAC CI EQUITY,DCORPCH CI EQUITY,ECH US EQUITY,FALCFIW CI EQUITY,FALCTNV CI EQUITY,IMTDECI CI EQUITY,IMTSCLI CI EQUITY,MBIARANV CI EQUITY,MBIRFANV CI EQUITY,MODUECH CI EQUITY,MRCLP CI EQUITY,TCHIEQB CI EQUITY,TOESCA CI EQUITY
2013-12-18,,,749.62,59616.2367,28150.3045,,7482.7119,,25313.8025,50.6089,,,,1081.648,47606.1381,,,8200.0,,
2013-12-19,,,750.69,59895.5005,28140.2064,,7589.3305,,25327.3532,49.9588,,,,1082.732,48070.2333,,,8200.0,,
2013-12-20,,,753.03,60018.6415,28140.7073,,7608.0177,,25328.0722,49.5146,,,,1081.847,48105.5711,,,8200.0,,
2013-12-23,,,751.33,60014.7166,28151.0784,,7587.6693,,25346.3929,50.3814,,,,1082.687,48136.26,,,8200.0,,
2013-12-24,,,748.27,59948.7809,28156.8253,,7580.1094,,25351.9327,50.013,,,,1083.304,47868.4777,,,8200.0,,
2013-12-25,,,748.17,59947.1552,28160.196,,7579.6957,,25351.9327,50.013,,,,1083.523,47865.8074,,,8200.0,,
2013-12-26,,,748.87,59840.1569,28151.2403,,7569.4377,,25328.4976,50.0238,,,,1083.546,47603.9018,,,8200.0,,
2013-12-27,,,753.51,59761.2864,28180.1498,,7614.3849,,25357.9991,50.8417,,,,1084.45,48000.6716,,,8338.0,,
2013-12-30,,,757.96,59758.7953,28195.2717,,7636.7552,,25379.6922,50.9501,,,,1084.306,48200.6443,,,8329.0,,
2013-12-31,,,757.87,59757.1744,28197.3451,,7637.7648,,25379.6922,51.503,,,,1084.539,48208.6263,,,8329.0,,
2014-01-01,,,757.77,59755.5537,28199.8302,,7637.443,,25379.6922,51.503,,,,1084.7794,48205.8317,,,8329.0,,
2014-01-02,,,757.67,59706.894,28209.0555,,7659.4924,,25398.2357,49.9419,,,,1084.8937,48220.1793,,,8329.0,,
2014-01-03,,,754.64,59968.1309,28220.0536,,7717.3278,,25411.6749,50.0395,,,,1084.9202,48346.7438,,,8329.0,,
2014-01-06,,,751.99,60188.392,28250.9854,,7731.5507,,25433.3681,49.7468,,,,1085.7648,48277.2434,,,8329.0,,
2014-01-07,,,753.4,60379.8378,28283.8742,,7749.9672,,25447.8504,49.736,,,,1086.4253,48147.021,,,8329.0,,
2014-01-08,,,753.81,60147.5865,28313.3268,,7727.1679,,25480.2686,49.5408,,,,1087.6225,48113.1773,,,8329.0,,
2014-01-09,,,748.98,60160.7391,28323.378,,7711.5466,,25493.5256,49.2915,,,,1088.7045,47996.1546,,,8329.0,,
2014-01-10,,,738.39,59764.4289,28326.9026,,7642.2224,,25500.1287,49.3566,,,,1088.8276,47622.3165,,,8329.0,,
2014-01-13,,,735.0,59458.4,28336.5644,,7637.11,,25527.7667,49.0747,,,,1089.8435,47631.8515,,,8329.0,,
2014-01-14,,,732.44,59173.8219,28336.2719,,7589.4,,25526.1159,49.0097,,,,1089.3293,47587.6885,,,8329.0,,
2014-01-15,,,732.7,59093.7196,28358.3934,,7589.7301,,25526.7641,49.736,,,,1089.1258,47821.9467,,,8329.0,,
2014-01-16,,,736.52,59623.3463,28390.742,,7587.527,,25550.0371,49.324,,,,1089.2533,48194.7647,,,8329.0,,
2014-01-17,,,742.68,60118.285,28413.5241,,7654.3189,,25571.2543,49.3782,,,,1090.971,48724.0157,,,8329.0,,
2014-01-20,,,740.93,59942.9072,28444.1131,,7606.8296,,25593.8893,49.3782,,,,1091.4757,48742.085,,,8329.0,,
2014-01-21,,,741.79,59812.5507,28480.1352,,7584.1251,,25630.0851,48.3484,,,,1093.2605,48665.4107,,,8329.0,,
2014-01-22,,,741.73,59524.4742,28476.1159,,7547.1333,,25628.3735,49.053,,,,1092.8373,48573.0321,,,8329.0,,
